node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear
60,61,0.05947175288,-73.6612246317236,41.0654605966527,-73.8312262620505,40.9194898597514,0.07653932874,0.01706757586,2021.55973382428,2021.61920557716
61,62,0.006968292568,-73.8312262620505,40.9194898597514,-73.8834236270346,40.8024237957153,0.083507621308,0.07653932874,2021.61920557716,2021.62617386973
62,63,0.0186099235,-73.8834236270346,40.8024237957153,-73.9543795747173,40.7617230560482,0.102117544808,0.083507621308,2021.62617386973,2021.64478379323
63,64,0.02230338816,-73.9543795747173,40.7617230560482,-73.9764991045287,40.7514675501012,0.124420932968,0.102117544808,2021.64478379323,2021.66708718139
61,53,0.06535606668,-73.8312262620505,40.9194898597514,-73.8654615086616,41.0389904028408,0.14189539542,0.07653932874,2021.61920557716,2021.68456164384
64,65,0.02323062748,-73.9764991045287,40.7514675501012,-73.9781782017286,40.7440120172781,0.147651560448,0.124420932968,2021.66708718139,2021.69031780887
65,58,0.00224383496800001,-73.9781782017286,40.7440120172781,-73.9752067516088,40.7418133136188,0.149895395416,0.147651560448,2021.69031780887,2021.69256164384
63,55,0.05077785061,-73.9543795747173,40.7617230560482,-73.9768099531557,40.7322677863552,0.152895395418,0.102117544808,2021.64478379323,2021.69556164384
62,54,0.07238777411,-73.8834236270346,40.8024237957153,-73.865316018077,40.6676900428719,0.155895395418,0.083507621308,2021.62617386973,2021.69856164384
64,56,0.03347446245,-73.9764991045287,40.7514675501012,-74.0037465154002,40.7482867497353,0.157895395418,0.124420932968,2021.66708718139,2021.70056164384
65,57,0.09324383497,-73.9781782017286,40.7440120172781,-73.995885474163,40.762354847895,0.240895395418,0.147651560448,2021.69031780887,2021.78356164384
69,66,0.02338827236,-73.8944269615816,40.7102779803217,-73.9848521785011,40.7430173916372,0.02338827236,0,2021.5297761112,2021.55316438356
69,70,0.01551085021,-73.8944269615816,40.7102779803217,-73.8405758350984,40.683114957589,0.01551085021,0,2021.5297761112,2021.54528696141
70,67,0.01087742215,-73.8405758350984,40.683114957589,-73.6172833965555,40.654379256276,0.02638827236,0.01551085021,2021.54528696141,2021.55616438356
70,68,0.01087742215,-73.8405758350984,40.683114957589,-73.9668791048884,40.7127107162088,0.02638827236,0.01551085021,2021.54528696141,2021.55616438356
74,71,0.006888618219,-73.8666581952661,40.5998300835673,-74.0043503742856,40.6040215099922,0.006888618219,0,2021.7035771352,2021.71046575342
74,75,0.01172089163,-73.8666581952661,40.5998300835673,-73.6912764671904,40.5861982341137,0.01172089163,0,2021.7035771352,2021.71529802683
75,72,0.02716772659,-73.6912764671904,40.5861982341137,-73.6029608408285,40.5892032151486,0.03888861822,0.01172089163,2021.71529802683,2021.74246575342
75,73,0.02716772659,-73.6912764671904,40.5861982341137,-73.5930840865108,40.590473143493,0.03888861822,0.01172089163,2021.71529802683,2021.74246575342
82,83,0.004391574245,-73.9737034233275,40.6459350224974,-74.0005598523309,40.625874939573,0.004391574245,0,2021.88120458009,2021.88559615433
83,84,0.00224405385699999,-74.0005598523309,40.625874939573,-74.013351426148,40.6225998857313,0.006635628102,0.004391574245,2021.88559615433,2021.88784020819
84,78,0.02254335345,-74.013351426148,40.6225998857313,-74.0110164838897,40.6123555421686,0.029178981552,0.006635628102,2021.88784020819,2021.91038356164
84,77,0.02454335345,-74.013351426148,40.6225998857313,-74.0291930190448,40.6223443226926,0.031178981552,0.006635628102,2021.88784020819,2021.91238356164
83,76,0.0357874073,-74.0005598523309,40.625874939573,-74.0213267529558,40.6045738055472,0.040178981545,0.004391574245,2021.88559615433,2021.92138356164
82,85,0.05991594136,-73.9737034233275,40.6459350224974,-73.8620177980413,40.7047734568174,0.05991594136,0,2021.88120458009,2021.94112052145
85,86,0.00226041384,-73.8620177980413,40.7047734568174,-73.914193083654,40.7057699253696,0.0621763552,0.05991594136,2021.94112052145,2021.94338093529
86,81,0.01000262635,-73.914193083654,40.7057699253696,-73.978540504495,40.7477796062733,0.07217898155,0.0621763552,2021.94338093529,2021.95338356164
86,80,0.01900262635,-73.914193083654,40.7057699253696,-73.9101365667722,40.652020671551,0.08117898155,0.0621763552,2021.94338093529,2021.96238356164
85,79,0.02326304019,-73.8620177980413,40.7047734568174,-73.3209213940008,40.7790692279735,0.08317898155,0.05991594136,2021.94112052145,2021.96438356164
95,96,0.009406900931,-73.9919870670968,40.6946597216492,-73.9830394391945,40.7109110708967,0.009406900931,0,2021.59819839671,2021.60760529764
96,97,0.01568228696,-73.9830394391945,40.7109110708967,-73.9659286242646,40.7303110628981,0.025089187891,0.009406900931,2021.60760529764,2021.6232875846
95,94,0.03430845263,-73.9919870670968,40.6946597216492,-73.998497703513,40.6644904646641,0.03430845263,0,2021.59819839671,2021.63250684934
97,98,0.01776802173,-73.9659286242646,40.7303110628981,-73.9452204604118,40.7235144288816,0.042857209621,0.025089187891,2021.6232875846,2021.64105560633
96,93,0.0599015517,-73.9830394391945,40.7109110708967,-74.0003527077003,40.7198267197303,0.069308452631,0.009406900931,2021.60760529764,2021.66750684934
98,88,0.02645124301,-73.9452204604118,40.7235144288816,-74.0098413226873,40.7199997017477,0.069308452631,0.042857209621,2021.64105560633,2021.66750684934
97,87,0.06621926474,-73.9659286242646,40.7303110628981,-73.9626078255695,40.7646801219313,0.091308452631,0.025089187891,2021.6232875846,2021.68950684934
98,99,0.05111052158,-73.9452204604118,40.7235144288816,-73.6847339716846,40.7281168946949,0.093967731201,0.042857209621,2021.64105560633,2021.69216612791
99,89,0.02834072143,-73.6847339716846,40.7281168946949,-73.626986856727,40.708067684124,0.122308452631,0.093967731201,2021.69216612791,2021.72050684934
99,100,0.05843209031,-73.6847339716846,40.7281168946949,-73.5856835936254,40.7521436695239,0.152399821511,0.093967731201,2021.69216612791,2021.75059821822
100,90,0.04890863112,-73.5856835936254,40.7521436695239,-73.5266038928952,40.7596532150097,0.201308452631,0.152399821511,2021.75059821822,2021.79950684934
