name,accession,date,loc
hCoV-19/Aruba/AW-RIVM-46344/2021|EPI_ISL_3138419|2021-07-18,EPI_ISL_3138419,2021-07-18,Aruba
hCoV-19/Australia/NSW-R0244/2021|EPI_ISL_2107445|2021-05-02,EPI_ISL_2107445,2021-05-02,Australia
hCoV-19/Australia/NSW-R0478/2021|EPI_ISL_2811815|2021-06-29,EPI_ISL_2811815,2021-06-29,Australia
hCoV-19/Australia/NSW-R0484/2021|EPI_ISL_3071992|2021-06-30,EPI_ISL_3071992,2021-06-30,Australia
hCoV-19/Australia/NSW-R0514/2021|EPI_ISL_3072003|2021-07-03,EPI_ISL_3072003,2021-07-03,Australia
hCoV-19/Australia/NSW-RPAH-0801/2021|EPI_ISL_3374169|2021-07-21,EPI_ISL_3374169,2021-07-21,Australia
hCoV-19/Australia/NSW-RPAH-1139/2021|EPI_ISL_3722084|2021-08-11,EPI_ISL_3722084,2021-08-11,Australia
hCoV-19/Australia/NSW-RPAH-1149/2021|EPI_ISL_3693278|2021-08-09,EPI_ISL_3693278,2021-08-09,Australia
hCoV-19/Australia/NSW1320/2020|EPI_ISL_767886|2020-12-15,EPI_ISL_767886,2020-12-15,Australia
hCoV-19/Australia/NSW1431/2020|EPI_ISL_806718|2020-11-08,EPI_ISL_806718,2020-11-08,Australia
hCoV-19/Australia/NSW1569/2021|EPI_ISL_2462419|2021-05-01,EPI_ISL_2462419,2021-05-01,Australia
hCoV-19/Australia/QLD1466/2020|EPI_ISL_849730|2020-12-12,EPI_ISL_849730,2020-12-12,Australia
hCoV-19/Australia/VIC1650/2020|EPI_ISL_456552|2020-05-14,EPI_ISL_456552,2020-05-14,Australia
hCoV-19/Australia/VIC18488/2021|EPI_ISL_2920935|2021-04-30,EPI_ISL_2920935,2021-04-30,Australia
hCoV-19/Australia/WA712/2021|EPI_ISL_1828700|2021-04-30,EPI_ISL_1828700,2021-04-30,Australia
hCoV-19/Austria/CeMM0142/2020|EPI_ISL_583563|2020-02-26,EPI_ISL_583563,2020-02-26,Austria
hCoV-19/Austria/CeMM10885/2021|EPI_ISL_2484977|2021-05-24,EPI_ISL_2484977,2021-05-24,Austria
hCoV-19/Austria/CeMM11086/2021|EPI_ISL_2617643|2021-05-13,EPI_ISL_2617643,2021-05-13,Austria
hCoV-19/Austria/CeMM11555/2021|EPI_ISL_2657460|2021-06-01,EPI_ISL_2657460,2021-06-01,Austria
hCoV-19/Austria/CeMM11776/2021|EPI_ISL_2758013|2021-06-10,EPI_ISL_2758013,2021-06-10,Austria
hCoV-19/Austria/CeMM12756/2021|EPI_ISL_3039962|2021-07-02,EPI_ISL_3039962,2021-07-02,Austria
hCoV-19/Austria/CeMM1340/2020|EPI_ISL_853751|2020-07-22,EPI_ISL_853751,2020-07-22,Austria
hCoV-19/Austria/CeMM13890/2021|EPI_ISL_3307675|2021-07-14,EPI_ISL_3307675,2021-07-14,Austria
hCoV-19/Austria/CeMM14495/2021|EPI_ISL_3797221|2021-08-01,EPI_ISL_3797221,2021-08-01,Austria
hCoV-19/Austria/CeMM14509/2021|EPI_ISL_3797112|2021-08-02,EPI_ISL_3797112,2021-08-02,Austria
